1,Xin Doi Co Doi            ,My Tam
2,999 Doa Hong                 ,Minh Tuyet
3,Ai Bao Em La Giai Nhan       ,Gia Huy
4,Ai Biet                      ,Thanh Mai
5,Ai Bieu Anh Lam Thinh        ,Yen Phuong
6,Ai Buon Hon Ai               ,Tam Doan
7,Ai Cho Tinh Yeu              ,Che Linh
8,Ai Cho Toi Tinh Yeu          ,Bruce Doan
9,Ai Den Sai Gon               ,Ly Hai;Thanh Thao
10,Ai Di Ngoai Suong Gio        ,Diep Thanh Thanh
11,Ai Dua Em Ve                 ,Dam Vinh Hung
12,Ai Dua Em Ve                 ,Le Toan
13,Ai Dua Em Ve                 ,Ngoc Lien; Luong Tung Quang
14,Ai Kho Vi Ai                 ,Huong Lan
15,Ai Len Xu Hoa Dao            ,Hoang Oanh; Trung Chinh
16,Ai Nho Chang Ai              ,Huong Lan
17,Ai Nho Chang Ai              ,Quang Le
18,Ai Noi Voi Em                ,Song Ca
19,Ai Noi Yeu Em Dem Nay        ,Tuan Vu
20,Ai Ra Xu Hue                 ,Quang Le; Ngoc Ha
21,Ai Se Biet Truoc             ,Ngoc Anh; Quoc Hung
22,Ai Se Yeu Em                 ,Phuong Thanh
23,Ai Ve Song Tuong             ,Anh Khoa
24,Ai Ve Song Tuong             ,Man
25,Ai Ve Song Tuong             ,Nguyen Hung
26,Ai Ve Voi Toi                ,Tran Duc
27,Aline Goi Ten Nguoi Yeu      ,Man
28,Am Tham                      ,Hai Ly
29,Am Tham                      ,Thuy Tien
30,An Nan Muon Mang             ,Hong Ngoc
31,An Nan                       ,Ngan Hue; Che Phong
32,An Tinh Mong Manh            ,La Suong Suong
33,Ang May Buon                 ,Cam Ly
34,Anh Biet Em Di Chang Tro Ve  ,Vu Khanh
35,Anh Chang Da Nghi            ,Chau Gia Kiet
36,Anh Chi La Hinh Bong Cua Nguoi Khac,Lam Vu
37,Anh Chi Yeu Em               ,Le Toan
38,Anh Cho Em Mua Xuan          ,Lam Thuy Van
39,Anh Cho Em Mua Xuan          ,Quang Linh
40,Anh Chon Theo Quen Lang      ,Nhat Trung; La Suong Suong
41,Anh Co Quen Em               ,Cam Ly; Van Quang Long
42,Anh Con Nho Que Huong        ,Nha Thanh
43,Anh Con No Em                ,Gia Huy
44,Anh Cu Biet                  ,Gia Huy
45,Anh Cu Hen                   ,Nhu Quynh
46,Anh Da Quen Mua Thu          ,Female
47,Anh Da Quen Mua Thu          ,Luu Bich; Nhu Quynh; Khanh Ha
48,Anh Da Thay Mua Xuan Chua    ,Don Ho
49,Anh Da Thay Mua Xuan Chua    ,Thien Kim
50,Anh Dau Em Do                ,Mai Le Huyen
51,Anh Den Mau                  ,Female
52,Anh Di Chien Dich            ,Hoang Oanh
53,Anh Di Ve Noi Dau            ,Yen Phuong
54,Anh Dung Co Lo               ,Hung Cuong; Mai Le Huyen
55,Anh Hung Xa Dieu             ,Tuan Dat; Lucia Kim Chi
56,Anh Khong Chet Dau Anh       ,Lam Nhat Tien
57,Anh Khong Chet Dau Anh       ,Thanh Lan
58,Anh Khong Con Gi De Noi Voi Em,Lam Chan Huy
59,Anh Khong Lai                ,Thanh Truc
60,Anh Khong Muon Bat Cong Voi Em,Ung Hoang Phuc; Hat
61,Anh Khong Muon Lam Nguoi Thu Ba,Lam Chan Huy
62,Anh Khong Muon Ra Di         ,Nguyen Phi Hung
63,Anh Khong The Quay Lai Voi Em,Pham Khanh Hung
64,Anh Khong The Yeu Hai Nguoi  ,Luu Chi Vy; May Trang
65,Anh La Nguoi Co Loi          ,Lam Vu
66,Anh La Tia Nang Trong Em     ,Lam Thuy Van
67,Anh Mo Ve Em                 ,Dam Vinh Hung
68,Anh Mo Ve Em                 ,Le Toan
69,Anh Mong Em Quay Ve          ,Khanh Dang
70,Anh Mong Em                  ,Duy Manh
71,Anh Muon Dung Cuoc Choi      ,Lam Chan Khang
72,Anh Muon Noi Yeu Em          ,Quang Dung
73,Anh Nho Em Nhieu             ,Lam Truong
74,Anh Nho Khong Anh            ,Ha Vy
75,Anh Sang Cua Doi Toi         ,Chord Gm
76,Anh Sang Cua Doi Toi         ,Luu Bich
77,Anh Sang Doi Toi             ,Thu Minh
78,Anh Sao Buon                 ,My Tam
79,Anh Se Den                   ,Quang Dung
80,Anh Se Nho Mai               ,Bang Kieu
81,Anh Thi Khong                ,Minh Tuyet
82,Anh Tien Tuyen Em Hau Phuong ,Nhu Quynh; Truong Vu
83,Anh Tin Minh Da Cho Nhau Ky Niem,Thu Thuy; Luong Bang Quang
84,Anh Trang Le Loi             ,Loan Chau
85,Anh Trang Le Loi             ,Tam Doan
86,Anh Trang Tan                ,Duy Khiem
87,Anh Trang Tan                ,Ha Vy
88,Anh Trang Tan                ,Thai Chau
89,Anh Trang Xua                ,Nhat Tinh Anh
90,Anh Va Em Deu Co Loi         ,Luu Chi Vy
91,Anh Van Biet                 ,Dam Vinh Hung
92,Anh Van Cho Em               ,Dam Vinh Hung
93,Anh Van Con Yeu Em           ,Phan Dinh Tung
94,Anh Van Khong Doi Thay       ,Le Toan
95,Anh Van Mo Ve Em             ,Johny Dung
96,Anh Vang Biet                ,Dam Vinh Hung
97,Anh Ve Voi Em                ,Tuan Vu; Nhu Mai
98,Anh Xin Lam Co Dai           ,Quang Dung
99,Anh Xin Ra Di                ,Nguyen Hoang Nam
100,Anh Yeu Em Van Cho           ,Lam Thai Uyen
101,Anh                          ,Le Toan
102,Anh                          ,Tran Tam; My Le
103,Ao Anh                       ,Female
104,Ao Anh                       ,Quang Dung; Thanh Thao
105,Ao Anh                       ,Y Lan
106,Ao Cuoi Khong Nang Dau       ,Truong Vu
107,Ao Cuoi Mau Hoa Ca           ,Phi Nhung
108,Ao Dai Viet Nam              ,Vu Khanh
109,Ao Dep Nang Dau              ,Huong Lan
110,Ao Dep Nang Dau              ,Truong Vu
111,Ao Em Chua Mac Mot Lan       ,Bruce Doan
112,Ao Em Chua Mac Mot Lan       ,Truong Vu
113,Ao Em Chua Mac Mot Lan       ,Vu Tuan
114,Ao Lua Ha Dong               ,Le Toan
115,Ao Lua Ha Dong               ,Y Lan
116,Ao Lua Vang                  ,Khanh Ly
117,Ao Mong Tinh Yeu             ,"Dan Truon;, Cam Ly"
118,Ao Nha Binh                  ,Truong Vu
119,Ao Tim Ngay Xua              ,Manh Dinh
120,Ao Trang Go Cong             ,Thai Chau; Ha Vy
121,Ao Xanh                      ,Phi Nhung
122,Au O Vi Dau Chanh Long       ,Thanh Huyen
123,Ba Me Que                    ,Hai Ly; Bruce Doan
124,Ba Rang Ba Ri                ,Kha Tu
125,Ba Thang Quan Truong         ,Truong Vu
126,Ba Thang Ta Tu               ,Phi Nhung
127,Ba Thang Ta Tu               ,Truong Vu
128,Bac Mau Ao Tran              ,Truong Vu
129,Bac Tinh Ca                  ,Vu Tuan
130,Bac Tinh                     ,Dam Vinh Hung
131,Bac Tinh                     ,Female
132,Bac Tinh                     ,Huy Vu
133,Bac Tinh                     ,Khanh Hoang
134,Bac Tinh                     ,Ngoc Son
135,Bac Trang Lua Hong           ,Truong Vu
136,Bai 20                       ,Khai Tuan; Chau Tuan
137,Bai Ca Cho Anh               ,Son Tuyen
138,Bai Ca Cho Em                ,Thai Hien
139,Bai Ca Chung Minh            ,Tuan Vu
140,Bai Ca Dao Dau Doi           ,Manh Quynh
141,Bai Ca Dao Xot Xa            ,Lam Gia Minh
142,Bai Ca Dat Phuong Nam        ,Doan Thy
143,Bai Ca Dem                   ,My Tam
144,Bai Ca Hai Chung Minh        ,Khanh Hoang
145,Bai Ca Hanh Ngo              ,Le Uyen
146,Bai Ca Hanh Ngo              ,Tuan Ngoc; Thanh Thao
147,Bai Ca Ky Niem               ,Thanh Do
148,Bai Ca Mua Xuan              ,Dan Truong
149,Bai Ca Ngoi Que Huong        ,Thai Chau; Son Ca
150,Bai Ca Ngoi Tinh Yeu         ,Loan Chau
151,Bai Ca Tan Hon               ,Le Toan
152,Bai Ca Tinh Nho              ,Thu Thao
153,Bai Ca Tinh Nho              ,Tuan Ngoc
154,Bai Ca Tuoi Tre              ,Hop Ca
155,Bai Ca Xuan                  ,Khanh Hoang
156,Bai Ca Yeu Doi               ,Cam Ly
157,Bai Cat Tho Mong             ,Le Toan
158,Bai Cuoi Cho Cuoc Tinh       ,Dam Vinh Hung
159,Bai Cuoi Cho Nguoi Tinh      ,Bruce Doan
160,Bai Cuoi Cho Nguoi Tinh      ,Manh Quynh
161,Bai Hat Ru Mua Dong          ,Ngoc Ha
162,Bai Hat Ru Mua Xuan          ,Duong Thu
163,Bai Hat Ru Mua Xuan          ,Hong Nhung
164,Bai Huong Ca Vo Tan          ,Che Linh; Thanh Tuyen
165,Bai Khong Ten Cuoi Cung      ,Kim Anh
166,Bai Khong Ten Cuoi Cung      ,Man
167,Bai Khong Ten Cuoi Cung      ,Vu Khanh
168,Bai Khong Ten So 01          ,Hoang Nam
169,Bai Khong Ten So 02          ,Ngoc Bich
170,Bai Khong Ten So 02          ,Nguyen Khang
171,Bai Khong Ten So 05          ,Ngoc Bich
172,Bai Khong Ten So 05          ,Vu Khanh
173,Bai Khong Ten So 06          ,Duy Quang
174,Bai Khong Ten So 06          ,Y Lan
175,Bai Khong Ten So 07          ,Hoang Nam
176,Bai Khong Ten So 08          ,Female
